209,Chamu,Chibhabha,14
210,Craig,Ervine,14
211,Tafadzwa,Kamungozi,14
212,Hamilton,Masakadza,14
213,Stuart,Matsikenyeri,14
214,Solomon,Mire,14
215,Tawanda,Mupariwa,14
216,Tinashe,Panyangara,14
217,Sikandar,Raza,14
218,Brendan,Taylor,14
219,Prosper,Utseya,14
220,Sean,Williams,14
1,Mohammad,Nabi,1
2,Afsar,Zazai,1
3,Aftab,Alam,1
4,Asghar,Stanikzai,1
5,Dawlat,Zadran,1
6,Gulbadin,Naib,1
7,Hamid,Hassan,1
8,Javed,Ahmadi,1
9,Mirwais,Ashraf,1
10,Najibullah,Zadran,1
11,Nasir,Jamal,1
12,Nawroz,Mangal,1
13,Samiullah,Shenwari,1
14,Shapoor,Zadran,1
15,Usman,Ghani,1
16,Hashmatullah,Shaidi,1
17,Izatullah,Dawlatzai,1
18,Shafiqullah,,1
19,Sharafuddin,Ashraf,1
20,Michael,Clarke,2
21,George,Bailey,2
22,Pat,Cummins,2
23,Xavier,Doherty,2
24,James,Faulkner,2
25,Aaron,Finch,2
26,Brad,Haddin,2
27,Josh,Hazlewood,2
28,Mitchell,Johnson,2
29,Mitchell,Marsh,2
30,Glenn,Maxwell,2
31,Steven,Smith,2
32,Mitchell,Starc,2
33,David,Warner,2
34,Shane,Watson,2
35,Mashrafe,Mortaza,3
36,Al-Amin,Hossain,3
37,Anamul,Haque,3
38,Arafat,Sunny,3
39,Mahmudullah,,3
40,Mominul,Haque,3
41,Mushfiqur,Rahim,3
42,Nasir,Hossain,3
43,Rubel,Hossain,3
44,Sabbir,Rahman,3
45,Shakib,Al,3
46,Soumya,Sarkar,3
47,Taijul,Islam,3
48,Tamim,Iqbal,3
49,Taskin,Ahmed,3
50,Eoin,Morgan,4
51,Jos,Buttler,4
52,Moeen,Ali,4
53,James,Anderson,4
54,Gary,Ballance,4
55,Ian,Bell,4
56,Ravi,Bopara,4
57,Stuart,Broad,4
58,Steven,Finn,4
59,Alex,Hales,4
60,Chris,Jordan,4
61,Joe,Root,4
62,James,Taylor,4
63,James,Tredwell,4
64,Chris,Woakes,4
65,MS,Dhoni,5
66,Ravichandran,Ashwin,5
67,Stuart,Binny,5
68,Shikhar,Dhawan,5
69,Ravindra,Jadeja,5
70,Virat,Kohli,5
71,Bhuvneshwar,Kumar,5
72,Mohammed,Shami,5
73,Axar,Patel,5
74,Ajinkya,Rahane,5
75,Suresh,Raina,5
76,Ambati,Rayudu,5
77,Mohit,Sharma,5
78,Rohit,Sharma,5
79,Umesh,Yadav,5
80,Ishant,Sharma,5
81,William,Porterfield,6
82,Andy,Balbirnie,6
83,Peter,Chase,6
84,Alex,Cusack,6
85,George,Dockrell,6
86,Ed,Joyce,6
87,Andy,McBrine,6
88,John,Mooney,6
89,Kevin,O'Brien,6
90,Niall,O'Brien,6
91,Max,Sorensen,6
92,Paul,Stirling,6
93,Stuart,Thompson,6
94,Gary,Wilson,6
95,Craig,Young,6
96,Tim,Murtagh,6
97,Brendon,McCullum,7
98,Corey,Anderson,7
99,Trent,Boult,7
100,Grant,Elliott,7
101,Martin,Guptill,7
102,Tom,Latham,7
103,Mitchell,McClenaghan,7
104,Nathan,McCullum,7
105,Kyle,Mills,7
106,Adam,Milne,7
107,Luke,Ronchi,7
108,Tim,Southee,7
109,Ross,Taylor,7
110,Daniel,Vettori,7
111,Kane,Williamson,7
112,Misbah-ul-Haq,,8
113,Ahmed,Shehzad,8
114,Ehsan,Adil,8
115,Haris,Sohail,8
116,Mohammad,Irfan,8
117,Nasir,Jamshed,8
118,Rahat,Ali,8
119,Sarfraz,Ahmed,8
120,Shahid,Afridi,8
121,Sohaib,Maqsood,8
122,Sohail,Khan,8
123,Umar,Akmal,8
124,Wahab,Riaz,8
125,Yasir,Shah,8
126,Younis,Khan,8
127,Junaid,Khan,8
128,Mohammad,Hafeez,8
129,Preston,Mommsen,9
130,Kyle,Coetzer,9
131,Richie,Berrington,9
132,Freddie,Coleman,9
133,Matthew,Cross,9
134,Josh,Davey,9
135,Alasdair,Evans,9
136,Hamish,Gardiner,9
137,Majid,Haq,9
138,Michael,Leask,9
139,Matt,Machan,9
140,Calum,MacLeod,9
141,Safyaan,Sharif,9
142,Rob,Taylor,9
143,Iain,Wardlaw,9
144,AB,de,10
145,Hashim,Amla,10
146,Kyle,Abbott,10
147,Farhaan,Behardien,10
148,Quinton,de,10
149,Jean-Paul,Duminy,10
150,Faf,du,10
151,Imran,Tahir,10
152,David,Miller,10
153,Morne,Morkel,10
154,Wayne,Parnell,10
155,Aaron,Phangiso,10
156,Vernon,Philander,10
157,Rilee,Rossouw,10
158,Dale,Steyn,10
159,Angelo,Mathews,11
160,Lahiru,Thirimanne,11
161,Dushmantha,Chameera,11
162,Dinesh,Chandimal,11
163,Tillakaratne,Dilshan,11
164,Rangana,Herath,11
165,Mahela,Jayawardene,11
166,Dimuth,Karunaratne,11
167,Nuwan,Kulasekara,11
168,Suranga,Lakmal,11
169,Lasith,Malinga,11
170,Jeevan,Mendis,11
171,Thisara,Perera,11
172,Kumar,Sangakkara,11
173,Sachithra,Senanayake,11
174,Dhammika,Prasad,11
175,Mohammad,Tauqir,12
176,Amjad,Ali,12
177,Amjad,Javed,12
178,Andri,Berenger,12
179,Fahad,Alhashmi,12
180,Manjula,Guruge,12
181,Kamran,Shazad,12
182,Khurram,Khan,12
183,Krishna,Chandran,12
184,Mohammad,Naveed,12
185,Nasir,Aziz,12
186,Swapnil,Patil,12
187,Rohan,Mustafa,12
188,Saqlain,Haider,12
189,Shaiman,Anwar,12
190,Jason,Holder,13
191,Marlon,Samuels,13
192,Sulieman,Benn,13
193,Darren,Bravo,13
194,Jonathan,Carter,13
195,Sheldon,Cottrell,13
196,Chris,Gayle,13
197,Nikita,Miller,13
198,Denesh,Ramdin,13
199,Kemar,Roach,13
200,Andre,Russell,13
201,Darren,Sammy,13
202,Lendl,Simmons,13
203,Dwayne,Smith,13
204,Jerome,Taylor,13
205,Sunil,Narine,13
206,Elton,Chigumbura,14
207,Regis,Chakabva,14
208,Tendai,Chatara,14
209,Chamu,Chibhabha,14
210,Craig,Ervine,14
211,Tafadzwa,Kamungozi,14
212,Hamilton,Masakadza,14
213,Stuart,Matsikenyeri,14
214,Solomon,Mire,14
215,Tawanda,Mupariwa,14
216,Tinashe,Panyangara,14
217,Sikandar,Raza,14
218,Brendan,Taylor,14
219,Prosper,Utseya,14
220,Sean,Williams,14
